Brand Name,Fuel type,Aspiration,Door Panel,Design,Wheel Drive,Engine Location,Engine Type,Cylinder Count,Engine Size,Fuel System,Bore,Stroke,Compression Ratio,Horse Power,Top-RPM,City Mileage,Highway Mileage,Price in Dollars
alfa-romero,petrol,std,two,convertible,rwd,front,dohc,four,130.0,mpfi,3.47,2.68,9.0,111,5000.0,21,27,13495
alfa-romero,petrol,std,two,convertible,rwd,front,dohc,four,130.0,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500
alfa-romero,petrol,std,two,hatchback,rwd,front,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500
audi,petrol,std,four,sedan,fwd,front,ohc,four,109.0,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950
audi,petrol,std,four,sedan,4wd,front,ohc,five,136.0,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450
audi,petrol,std,two,sedan,fwd,front,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250
audi,petrol,std,four,sedan,fwd,front,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710
audi,petrol,std,four,wagon,fwd,front,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920
audi,petrol,turbo,four,sedan,fwd,front,ohc,five,131.0,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875
audi,petrol,turbo,two,hatchback,4wd,front,ohc,five,131.0,mpfi,3.13,3.4,7.0,160,5500.0,16,22,17072
bmw,petrol,std,two,sedan,rwd,front,ohc,four,108.0,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430
bmw,petrol,std,four,sedan,rwd,front,ohc,four,108.0,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925
bmw,petrol,std,two,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970
bmw,petrol,std,four,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105
bmw,petrol,std,four,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,20,25,24565
chevrolet,petrol,std,two,hatchback,fwd,front,l,three,61.0,2bbl,2.91,3.03,9.5,48,5100.0,47,53,5151
chevrolet,petrol,std,two,hatchback,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6295
chevrolet,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,6575
dodge,petrol,std,two,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.41,68,5500.0,37,41,5572
dodge,petrol,std,two,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6377
dodge,petrol,turbo,two,hatchback,fwd,front,ohc,four,98.0,mpfi,3.03,3.39,7.6,102,5500.0,24,30,7957
dodge,petrol,std,four,hatchback,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6229
dodge,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6692
dodge,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,7609
dodge,petrol,turbo,?,sedan,fwd,front,ohc,four,98.0,mpfi,3.03,3.39,7.6,102,5500.0,24,30,8558
dodge,petrol,std,four,wagon,fwd,front,ohc,four,122.0,2bbl,3.34,3.46,8.5,88,5000.0,24,30,8921
dodge,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,mfi,3.6,3.9,7.0,145,5000.0,19,24,12964
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.6,58,4800.0,49,54,6479
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,31,38,6855
honda,petrol,std,two,hatchback,fwd,front,ohc,four,79.0,1bbl,2.91,3.07,10.1,60,5500.0,38,42,5399
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30,34,6529
honda,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7129
honda,petrol,std,four,sedan,fwd,front,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30,34,7295
honda,petrol,std,four,wagon,fwd,front,ohc,four,92.0,1bbl,2.92,3.41,9.2,76,6000.0,30,34,7295
honda,petrol,std,two,hatchback,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,7895
honda,petrol,std,two,hatchback,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,9095
honda,petrol,std,four,sedan,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,8845
honda,petrol,std,four,sedan,fwd,front,ohc,four,110.0,1bbl,3.15,3.58,9.0,86,5800.0,27,33,10295
honda,petrol,std,four,sedan,fwd,front,ohc,four,110.0,mpfi,3.15,3.58,9.0,101,5800.0,24,28,12945
honda,petrol,std,two,sedan,fwd,front,ohc,four,110.0,2bbl,3.15,3.58,9.1,100,5500.0,25,31,10345
isuzu,petrol,std,four,sedan,rwd,front,ohc,four,111.0,2bbl,3.31,3.23,8.5,78,4800.0,24,29,6785
isuzu,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,25856
isuzu,petrol,std,two,hatchback,rwd,front,ohc,four,119.0,spfi,3.43,3.23,9.2,90,5000.0,24,29,11048
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,30,31,5195
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6095
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6795
mazda,petrol,std,four,sedan,fwd,front,ohc,four,91.0,2bbl,3.03,3.15,9.0,68,5000.0,31,38,6695
mazda,petrol,std,four,sedan,fwd,front,ohc,four,91.0,2bbl,3.08,3.15,9.0,68,5000.0,31,38,7395
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,70.0,4bbl,3.17,3.31,9.4,101,6000.0,17,23,10945
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,70.0,4bbl,3.17,3.31,9.4,101,6000.0,17,23,11845
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,70.0,4bbl,3.17,3.31,9.4,101,6000.0,17,23,13645
mazda,petrol,std,two,hatchback,rwd,front,rotor,two,80.0,mpfi,3.17,3.31,9.4,135,6000.0,16,23,15645
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8845
mazda,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,8495
mazda,petrol,std,two,hatchback,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10595
mazda,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,10245
mazda,diesel,std,?,sedan,fwd,front,ohc,four,122.0,idi,3.39,3.39,22.7,64,4650.0,36,42,10795
mazda,petrol,std,four,hatchback,fwd,front,ohc,four,122.0,2bbl,3.39,3.39,8.6,84,4800.0,26,32,11245
mazda,petrol,std,four,sedan,rwd,front,ohc,four,140.0,mpfi,3.76,3.16,8.0,120,5000.0,19,27,18280
mazda,diesel,std,four,sedan,rwd,front,ohc,four,134.0,idi,3.43,3.64,22.0,72,4200.0,31,39,18344
mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22,25,25552
mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22,25,28248
mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,183.0,idi,3.58,3.64,21.5,123,4350.0,22,25,28176
mercury,petrol,turbo,two,hatchback,rwd,front,ohc,four,140.0,mpfi,3.78,3.12,8.0,175,5000.0,19,24,16503
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,37,41,5389
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6189
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,92.0,2bbl,2.97,3.23,9.4,68,5500.0,31,38,6669
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,98.0,spdi,3.03,3.39,7.6,102,5500.0,24,30,7689
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23,30,9959
mitsubishi,petrol,std,two,hatchback,fwd,front,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8499
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,spdi,3.58,3.86,7.0,145,5000.0,19,24,12629
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000.0,19,24,14869
mitsubishi,petrol,turbo,two,hatchback,fwd,front,ohc,four,156.0,spdi,3.59,3.86,7.0,145,5000.0,19,24,14489
mitsubishi,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25,32,6989
mitsubishi,petrol,std,four,sedan,fwd,front,ohc,four,122.0,2bbl,3.35,3.46,8.5,88,5000.0,25,32,8189
mitsubishi,petrol,turbo,four,sedan,fwd,front,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279
mitsubishi,petrol,std,four,sedan,fwd,front,ohc,four,110.0,spdi,3.17,3.46,7.5,116,5500.0,23,30,9279
nissan,petrol,std,two,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,5499
nissan,diesel,std,two,sedan,fwd,front,ohc,four,103.0,idi,2.99,3.47,21.9,55,4800.0,45,50,7099
nissan,petrol,std,two,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6649
nissan,petrol,std,four,sedan,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,6849
nissan,petrol,std,four,wagon,fwd,front,ohc,four,97.0,2bbl,3.15,3.29,9.4,69,5200.0,31,37,7349
