Brand Name,Fuel type,Aspiration,Door Panel,Design,Wheel Drive,Engine Location,Engine Type,Cylinder Count,Engine Size,Fuel System,Bore,Stroke,Compression Ratio,Horse Power,Top-RPM,City Mileage,Highway Mileage,Price in Dollars
audi,petrol,turbo,four,sedan,fwd,front,ohc,five,131.0,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875
bmw,petrol,std,two,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970
bmw,petrol,std,four,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105
bmw,petrol,std,four,sedan,rwd,front,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,20,25,24565
bmw,petrol,std,four,sedan,rwd,front,ohc,six,209.0,mpfi,3.62,3.39,8.0,182,5400.0,16,22,30760
bmw,petrol,std,two,sedan,rwd,front,ohc,six,209.0,mpfi,3.62,3.39,8.0,182,5400.0,16,22,41315
bmw,petrol,std,four,sedan,rwd,front,ohc,six,209.0,mpfi,3.62,3.39,8.0,182,5400.0,15,20,36880
isuzu,petrol,std,two,sedan,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,581758
isuzu,petrol,std,four,sedan,fwd,front,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38,43,25856
jaguar,petrol,std,four,sedan,rwd,front,dohc,six,258.0,mpfi,3.63,4.17,8.1,176,4750.0,15,19,32250
jaguar,petrol,std,four,sedan,rwd,front,dohc,six,258.0,mpfi,3.63,4.17,8.1,176,4750.0,15,19,35550
jaguar,petrol,std,two,sedan,rwd,front,ohcv,twelve,326.0,mpfi,3.54,2.76,11.5,262,5000.0,13,17,36000
mercedes-benz,petrol,std,four,sedan,rwd,front,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155,4750.0,16,18,34184
mercedes-benz,petrol,std,two,convertible,rwd,front,ohcv,eight,234.0,mpfi,3.46,3.1,8.3,155,4750.0,16,18,35056
mercedes-benz,petrol,std,four,sedan,rwd,front,ohcv,eight,308.0,mpfi,3.8,3.35,8.0,184,4500.0,14,16,40960
mercedes-benz,petrol,std,two,hardtop,rwd,front,ohcv,eight,304.0,mpfi,3.8,3.35,8.0,184,4500.0,14,16,45400
porsche,petrol,std,two,hatchback,rwd,front,ohc,four,151.0,mpfi,3.94,3.11,9.5,143,5500.0,19,27,22018
porsche,petrol,std,two,hardtop,rwd,rear,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900.0,17,25,32528
porsche,petrol,std,two,hardtop,rwd,rear,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900.0,17,25,34028
porsche,petrol,std,two,convertible,rwd,rear,ohcf,six,194.0,mpfi,3.74,2.9,9.5,207,5900.0,17,25,37028
volvo,petrol,std,four,sedan,rwd,front,ohcv,six,173.0,mpfi,3.58,2.87,8.8,134,5500.0,18,23,21485
volvo,petrol,turbo,four,sedan,rwd,front,ohc,four,141.0,mpfi,3.78,3.15,9.5,114,5400.0,19,25,22625
